scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,39.375,39.375,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,39.375,39.375,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,39.375,39.375,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,39.375,39.375,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,38.25,38.25,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,43.5,38.25,-13.72549019607843,HEFT
network_hpc_cloud,prism_cc_time,makespan,26.25,26.25,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,26.25,26.25,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,31.688,31.688,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,31.688,31.688,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,26.25,26.25,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,26.25,26.25,0.0,Empate
network_wfcommons_overlay,prism_cc_time,makespan,133.269,133.269,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,133.269,133.269,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.023375,0.023375,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,0.019334,0.023375,17.287700534759356,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,0.039609,0.039609,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.039609,0.039609,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
