scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,7605.529,7605.529,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,7605.529,7605.529,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,7605.529,7605.529,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,7605.529,7605.529,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,5147.065,5147.76,0.013501017918485292,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,5147.76,5147.76,0.0,Empate
network_hpc_cloud,prism_cc_time,makespan,3840.935,3840.935,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,3840.935,3840.935,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,3867.591,3867.591,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,3867.591,3867.591,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,3840.935,3840.935,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,3840.935,3840.935,0.0,Empate
network_wfcommons_overlay,prism_cc_time,makespan,25846.519,25846.519,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,25846.519,25846.519,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,3.340384,3.324176,-0.48757947834289694,HEFT
network_cloud_multiregion,prism_cc_cost,budget_used,3.324176,3.324176,0.0,Empate
network_hpc_cloud,prism_cc_time,budget_used,4.785152,4.785152,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,4.785152,4.785152,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,4.878751,4.878751,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,4.878751,4.878751,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,budget_used,4.785152,4.785152,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,4.785152,4.785152,0.0,Empate
network_wfcommons_overlay,prism_cc_time,budget_used,17.720061,17.720061,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,17.720061,17.720061,0.0,Empate
