scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,587.382,587.382,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,587.382,587.382,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,587.382,587.382,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,587.382,587.382,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,403.588,403.588,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,403.588,403.588,0.0,Empate
network_hpc_cloud,prism_cc_time,makespan,305.691,305.691,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,350.019,305.691,-14.500917593255945,HEFT
network_edge_cloud,prism_cc_time,makespan,305.691,305.691,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,305.691,305.691,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,305.691,305.691,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,338.59,305.691,-10.762174875936813,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,2000.062,2000.062,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,2000.062,2000.062,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,1.254436,1.254436,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,0.246638,1.254436,80.33873390113168,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,1.609951,1.609951,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,0.416174,1.609951,74.14989648753284,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,0.493562,0.493562,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.382113,0.493562,22.580547124778654,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,1.609951,1.609951,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.458879,1.609951,71.49733128523788,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,8.026206,8.026206,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,1.280042,8.026206,84.05171758611728,PRISM-CC
