scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,55.735,55.735,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,55.735,55.735,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,55.735,55.735,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,55.735,55.735,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,84.924,85.107,0.21502344108004362,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,90.34,85.107,-6.148730421704448,HEFT
network_hpc_cloud,prism_cc_time,makespan,46.945,46.945,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,55.826,46.945,-18.917882628607945,HEFT
network_edge_cloud,prism_cc_time,makespan,71.749,71.749,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,84.248,71.749,-17.42045185298751,HEFT
network_fog_hpc_cloud,prism_cc_time,makespan,46.755,46.755,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,55.826,46.755,-19.401133568602283,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,278.042,278.042,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,333.626,278.042,-19.991224347400756,HEFT
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.210334,0.210109,-0.10708727374838917,HEFT
network_cloud_multiregion,prism_cc_cost,budget_used,0.189958,0.210109,9.590736236905608,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.113298,0.113298,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,0.079006,0.113298,30.267083267136215,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,0.26467,0.26467,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.117384,0.26467,55.648921298220436,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,0.113423,0.113423,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.079431,0.113423,29.9692302266736,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,0.981762,0.981762,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.847919,0.981762,13.632937514387402,PRISM-CC
