scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,7605.338,7605.338,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,7605.338,7605.338,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,7605.338,7605.338,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,7605.338,7605.338,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,5146.879,5147.394,0.010005062756033974,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,6158.336,5147.394,-19.639879908163238,HEFT
network_hpc_cloud,prism_cc_time,makespan,3840.713,3840.713,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,3915.919,3840.713,-1.9581260042080644,HEFT
network_edge_cloud,prism_cc_time,makespan,3867.591,3867.591,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,3872.895,3867.591,-0.13713963032802814,HEFT
network_fog_hpc_cloud,prism_cc_time,makespan,3840.713,3840.713,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,3916.454,3840.713,-1.9720557094476985,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,25830.889,25830.889,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,25830.889,25830.889,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,3.310326,3.29376,-0.5029510346837681,HEFT
network_cloud_multiregion,prism_cc_cost,budget_used,2.985002,3.29376,9.37402846594772,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,4.752307,4.752307,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,4.666076,4.752307,1.8145081957036808,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,4.866946,4.866946,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,4.857789,4.866946,0.18814673513945052,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,4.752307,4.752307,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,4.666076,4.752307,1.8145081957036808,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
