scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,147.835,147.835,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,147.835,147.835,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,147.835,147.835,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,147.835,147.835,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,119.083,127.719,6.761719086431929,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,142.219,127.719,-11.353048489261582,HEFT
network_hpc_cloud,prism_cc_time,makespan,88.8,91.404,2.848890639359327,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,95.117,91.404,-4.062185462343014,HEFT
network_edge_cloud,prism_cc_time,makespan,94.434,97.649,3.2924044281047458,PRISM-CC
network_edge_cloud,prism_cc_cost,makespan,96.172,97.649,1.5125602924761175,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,makespan,89.408,91.175,1.938031258568682,PRISM-CC
network_fog_hpc_cloud,prism_cc_cost,makespan,96.665,91.175,-6.021387441732942,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,513.147,513.147,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,557.846,513.147,-8.71075929509477,HEFT
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.273242,0.324784,15.869624119414757,PRISM-CC
network_cloud_multiregion,prism_cc_cost,budget_used,0.202808,0.324784,37.55603724321396,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.203822,0.21204,3.875683833239013,PRISM-CC
network_hpc_cloud,prism_cc_cost,budget_used,0.134341,0.21204,36.64355781927939,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,0.317086,0.324675,2.3374143374143412,PRISM-CC
network_edge_cloud,prism_cc_cost,budget_used,0.127625,0.324675,60.6914606914607,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,0.216502,0.201876,-7.245041510630289,HEFT
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.139331,0.201876,30.98188987299134,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,1.760299,1.760299,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.776068,1.760299,55.91271710090161,PRISM-CC
